Ni (mole %),Er (mole %),Zr (mole %),Y (mole %),Yb (mole %),L1_2 (mole %),Misfit,Coarsening rate,Diffusion Resistivity,Orowan Stress
0.418740948,1.199244896,0.143046391,0.641690727,0.726026282,4.067167,0.88871783,36.53916697,27.881845,460.43924
2.793479456,1.031491479,0.281189112,0.728139452,0.404108771,3.4320016,0.8314867,6.300575536,5.1386814,438.48416
0.014652724,0.085706371,1.181770036,0.593365721,0.299893666,1.2140299,0.6401267,0.769474662,0.8151831,203.74214
1.526621153,0.231115879,0.452665088,0.688436121,0.533104075,1.5216731,0.6798784,1.102744051,1.0999432,240.04538
0.457102859,1.105119235,0.532729923,0.751150513,0.225701445,3.8024654,0.7584688,1.965597465,1.7574526,437.35205
0.893176685,1.433487785,0.615092434,0.658691587,0.398671673,4.921053,0.7756026,2.525042127,2.2077818,541.7271
2.907956489,0.771634724,0.505307496,0.107036895,0.247474295,2.764929,0.6801482,1.036159514,1.0331179,368.439
3.420909523,1.558668232,1.800478411,0.017728815,0.071049064,5.4924088,0.5284827,0.319425807,0.40988877,651.9279
1.253862541,0.579902735,0.065674613,0.057757744,0.17640285,1.4911023,0.87169975,22.85840028,17.783028,231.72171
1.441044611,0.636190209,1.051826343,0.184910337,0.526844467,3.2159102,0.6875194,1.145769574,1.130158,398.90906
2.429926358,1.46494067,1.584833892,0.865555263,0.573101683,6.182186,0.66827035,0.888144978,0.9012773,717.6958
2.228882364,1.040492825,1.045903098,0.709591846,0.560339473,4.6205773,0.67907274,1.011747051,1.0103747,546.7386
0.501006224,1.136668782,0.49499357,0.731744663,0.137337625,3.6183052,0.76961946,2.0917525,1.8431515,420.57187
2.491433357,1.726224212,0.467897058,0.564795059,0.369985875,5.303297,0.8317936,5.434136297,4.4303875,608.0498
3.350719107,0.131471203,1.252194443,0.367572873,0.877203018,1.0983074,0.64036095,0.829250635,0.87818855,211.38853
1.689253881,0.439402511,0.361278798,0.813533042,0.202250139,1.8958111,0.6739712,0.949837021,0.95572853,278.91583
0.470766148,0.631907309,0.012492274,0.368501142,0.161343381,1.5338356,0.94551456,721.3596953,517.3809,232.33273
2.897259146,0.580265101,0.536864497,0.494085313,0.216119946,2.435594,0.66652364,0.870524322,0.8857112,340.61984
0.718683978,1.043120521,1.364294052,0.874454371,0.029604003,4.2000318,0.6220624,0.548429867,0.5978799,482.4549
1.947305298,0.338144553,0.923500797,0.85713706,0.390499303,2.010714,0.6850187,1.14802254,1.136514,298.1818
2.509864885,1.515861823,1.304369342,0.550042641,0.045000858,5.788408,0.6429627,0.644005823,0.6792518,654.48566
2.925396657,0.724382758,1.422851917,0.086691612,0.641392149,3.5547378,0.6690113,1.033911794,1.0480375,456.93915
3.080028713,1.533167174,0.704485001,0.100295846,0.085292391,4.1071973,0.6992917,1.208700359,1.1721605,500.9228
1.92339143,1.355609409,0.490988785,0.797633576,0.548216993,4.7159324,0.7986144,3.747405991,3.1821482,546.77997
2.502973341,0.406380184,1.493522367,0.504121832,0.04459806,1.6351314,0.6341325,0.617565865,0.66043496,265.2298
0.59066297,0.423370675,0.476724498,0.472608224,0.699594748,2.7829068,0.6878817,1.193214393,1.1763363,347.30948
0.437017656,0.229214716,0.182329791,0.063415454,0.405647239,1.4099659,0.7354725,2.240024044,2.065442,218.46568
2.938820474,0.18814576,0.116039407,0.427971547,0.062824775,0.7131463,0.7179647,1.383039267,1.3063459,155.19695
1.48632498,1.451892325,0.921920134,0.414502719,0.793619086,6.0037727,0.7226527,1.558915182,1.4629169,651.9835
2.953026655,0.016137195,0.456985439,0.853429353,0.840568062,0.099919684,0.6572057,0.935018623,0.9648188,53.258816
1.628446884,1.465785563,1.63278121,0.228609669,0.693730036,6.073659,0.65755266,0.863323017,0.89036804,671.75006
0.509686459,0.333670266,0.851493946,0.42064975,0.239399829,1.600368,0.68594325,1.112615764,1.0999775,242.71536
2.972254884,0.229236458,0.570208963,0.080235532,0.726574122,2.067857,0.62180674,0.729613606,0.7957274,303.38318
2.635971755,0.777880271,0.049987597,0.772749855,0.671085571,2.9128191,0.90711194,156.6208513,117.08883,388.0465
2.921700893,1.069005603,0.626704074,0.543827681,0.179245567,3.8080137,0.7248335,1.361291619,1.2736194,472.21234
1.767505965,0.766588721,1.622900923,0.365774043,0.742772379,4.153877,0.68744475,1.160848003,1.1451552,500.49582
0.120285154,0.07260834,0.594458185,0.737000065,0.194227444,0.6830423,0.66083,0.929527287,0.9538919,143.35841
0.39229662,0.550706961,0.715786547,0.698352354,0.259417822,2.3849714,0.674758,0.958920709,0.96374345,314.9479
2.511165088,1.724603081,0.320400482,0.871875806,0.565457018,5.4080176,0.86906713,12.59084696,9.824906,626.5934
2.037582119,1.754329567,1.880322149,0.794620404,0.732980862,7.463755,0.6706016,0.912554197,0.9228282,843.7378
2.25335953,0.408282715,1.608527254,0.356374623,0.847953399,3.0449584,0.6641751,0.983527651,1.0042244,403.4333
1.821527609,1.183283656,0.853084587,0.165408997,0.525845779,4.622827,0.67439055,1.007448827,1.0130672,526.64124
0.900982614,1.34924145,0.573193204,0.408974878,0.184077705,4.2635226,0.7670476,2.158391579,1.9082476,479.21808
0.527220413,1.320594351,1.310497769,0.788336301,0.007013642,5.3245654,0.61858445,0.530320494,0.5813882,570.9884
2.495202506,1.261750999,1.691986668,0.244460918,0.491482666,5.150161,0.6545213,0.81482143,0.8442391,605.7738
0.522743567,1.14005528,1.57208539,0.655063016,0.787124545,5.400658,0.68528116,1.101208582,1.0897518,592.97906
2.816299432,0.953016142,0.389078461,0.896461764,0.764653758,3.9937837,0.7953101,4.26289039,3.6349168,497.7898
